PIVlab, ASCII chart output - 13-Mar-2024
FRAME: 146, filenames: MEAN of frames 1:145 & MEAN of frames 1:145, conversion factor xy (px -> m): 0.00036954, conversion factor uv (px/frame -> m/s): 0.011086
x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.2143316716,0.332953155,0.001906293561,0.009912563488,1
0.2143316716,0.338865757,-0.003635984147,0.01243412774,1
0.2143316716,0.3447783589,-0.0093393391,0.01507700048,1
0.2143316716,0.3506909609,-0.01507278252,0.02060221694,1
0.2143316716,0.3566035628,-0.01760882512,0.02574248239,1
0.2143316716,0.3625161648,-0.004562192596,0.01038792077,1
0.2143316716,0.3684287369,0.00277212495,0.004693384748,1
0.2143316716,0.3743413389,0.02246066928,0.008813217282,1
0.2143316716,0.3802539408,0.0430383496,0.01003079489,1
0.2143316716,0.3861665428,0.04149651527,0.005943092052,1
0.2143316716,0.3920791447,0.02691307291,0.003571436042,1
0.2143316716,0.3979917467,0.02005125582,0.001242769882,1
0.2202442735,0.2915649712,-0.03566138446,0.003385912394,1
0.2202442735,0.2974775732,-0.03968890756,-0.001662190538,1
0.2202442735,0.3033901751,-0.005862287711,-0.003419087967,1
0.2202442735,0.3093027771,-0.0003015678958,-0.004354937468,1
0.2202442735,0.315215379,0.005286394153,-0.004991623573,1
0.2202442735,0.3211279809,0.008723950945,-0.004087755922,1
0.2202442735,0.3270405531,0.005379719194,-0.0002276248269,1
0.2202442735,0.332953155,8.721377526e-05,0.003057390451,1
0.2202442735,0.338865757,-0.005486445967,0.004849636462,1
0.2202442735,0.3447783589,-0.01079872902,0.00569791114,1
0.2202442735,0.3506909609,-0.01919673197,0.007443054579,1
0.2202442735,0.3566035628,-0.02501196973,0.005533510819,1
0.2202442735,0.3625161648,-0.008411573246,-0.0007001071353,1
0.2202442735,0.3684287369,0.0007903770311,-0.002421335317,1
0.2202442735,0.3743413389,0.01718256436,-0.00275258394,1
0.2202442735,0.3802539408,0.04075857252,-0.004408916924,1
0.2202442735,0.3861665428,0.04209792987,-0.003240776947,1
0.2202442735,0.3920791447,0.03645439446,-0.002860410605,1
0.2202442735,0.3979917467,0.02690948732,-0.002566617448,1
0.2261568606,0.2915649712,-0.03411398828,-0.002842210466,1
0.2261568606,0.2974775732,-0.03351672739,-0.01062488183,1
0.2261568606,0.3033901751,-0.02362097241,-0.01945318468,1
0.2261568606,0.3093027771,-0.009859347716,-0.0261129234,1
0.2261568606,0.315215379,0.0009113481501,-0.01898593456,1
